time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
10500,,0.05,,,,,0.0,85.0,2499,0.0001,4.1861167119350284e-05
10761,86.4,0.05,108,38,277,-223.4,,,2565,0.0001,0.005250217858701944
11000,,0.05,,,,,0.0,87.0,2624,0.0001,1.2865122698713094e-05
11176,86.37,0.05,112,40,276,-191.9,,,2668,0.0001,0.01114557683467865
11500,,0.05,,,,,0.0,82.8,2749,0.0001,3.035982263099868e-05
11583,86.4,0.05,116,41,276,-159.05,,,2770,0.0001,1.5413133951369673e-05
11926,86.39,0.05,120,43,276,-127.1,,,2856,0.0001,1.5339324474334717
12000,,0.05,,,,,-188.0,86.0,2874,0.0001,1.540583610534668
12344,86.26,0.05,124,44,276,-113.65,,,2960,0.0001,1.4807125329971313
12500,,0.05,,,,,0.0,86.4,2999,0.0001,4.144262790679932
12763,86.38,0.05,128,46,275,-90.4,,,3065,0.0001,0.19553864002227783
13000,,0.05,,,,,0.0,86.4,3124,0.0001,0.05387800931930542
13166,86.25,0.05,132,47,275,-70.0,,,3166,0.0001,2.354525089263916
13500,,0.05,,,,,0.0,85.4,3249,0.0001,0.022128980606794357
13584,86.16,0.05,136,49,274,-49.8,,,3270,0.0001,3.5630903244018555
13934,86.31,0.05,140,50,275,-35.8,,,3358,0.0001,0.05117875710129738
14000,,0.05,,,,,0.0,85.0,3374,0.0001,0.008759280666708946
14352,86.37,0.05,144,52,274,-28.2,,,3462,0.0001,7.145186827983707e-05
14500,,0.05,,,,,0.0,86.8,3499,0.0001,1.3612081602332182e-05
14766,86.36,0.05,148,53,274,-26.7,,,3566,0.0001,3.0497598345391452e-05
15000,,0.05,,,,,0.0,86.2,3624,0.0001,0.03584575280547142
15174,86.49,0.05,152,55,273,-24.95,,,3668,0.0001,0.006376444827765226
15500,,0.05,,,,,0.0,87.2,3749,0.0001,0.14828699827194214
15589,86.52,0.05,156,57,273,-25.2,,,3772,0.0001,0.02583894319832325
15940,86.57,0.05,160,58,273,-24.95,,,3859,0.0001,3.6197714052832453e-06
16000,,0.05,,,,,0.0,88.0,3874,0.0001,7.239696969918441e-06
16345,86.55,0.05,164,59,273,-25.35,,,3961,0.0001,0.05096648260951042
16500,,0.05,,,,,0.0,86.8,3999,0.0001,1.5753847360610962
16759,86.62,0.05,168,61,272,-24.35,,,4064,0.0001,2.0682451577158645e-05
17000,,0.05,,,,,0.0,84.2,4124,0.0001,3.4588506423460785e-06
17174,86.69,0.05,172,63,272,-23.1,,,4168,0.0001,0.049138687551021576
17500,,0.05,,,,,140.0,85.0,4249,0.0001,2.7962613105773926
17585,86.69,0.05,176,65,269,-28.45,,,4271,0.0001,0.0010571893071755767
17926,86.57,0.05,180,66,269,-21.55,,,4356,0.0001,0.7214214205741882
18000,,0.05,,,,,0.0,86.6,4374,0.0001,2.09162974357605
18337,86.51,0.05,184,67,269,-22.65,,,4459,0.0001,2.356919527053833
18500,,0.05,,,,,0.0,88.0,4499,0.0001,0.00014875429042149335
18756,86.45,0.05,188,69,269,-21.4,,,4563,0.0001,5.46443770872429e-05
19000,,0.05,,,,,0.0,86.6,4624,0.0001,1.152616005128948e-05
19169,86.25,0.05,192,71,269,-21.75,,,4667,0.0001,3.736669896170497e-05
19500,,0.05,,,,,-119.0,85.8,4749,0.0001,1.5387483835220337
19589,86.23,0.05,196,72,269,-18.75,,,4772,0.0001,2.3294427394866943
19946,86.34,0.05,200,74,269,-17.7,,,4861,0.0001,3.141080379486084
20000,,0.05,,,,,105.0,87.2,4874,0.0001,2.2565436363220215
20345,86.34,0.05,204,75,267,-16.5,,,4961,0.0001,2.315640687942505
20500,,0.05,,,,,0.0,85.2,4999,0.0001,0.6713552474975586
20764,86.35,0.05,208,77,267,-12.65,,,5065,0.0001,0.6263787150382996
21000,,0.05,,,,,105.0,89.0,5124,0.0001,0.0023003309033811092
21172,86.35,0.05,212,79,267,-10.2,,,5167,0.0001,0.002792737213894725
21500,,0.05,,,,,70.0,84.2,5249,0.0001,1.5261164903640747
21582,86.2,0.05,216,80,266,-11.8,,,5270,0.0001,1.5080010890960693
21940,86.35,0.05,220,82,267,-11.8,,,5359,0.0001,1.3859716653823853
22000,,0.05,,,,,70.0,85.4,5374,0.0001,0.6835294961929321
22345,86.36,0.05,224,83,267,0.45,,,5461,0.0001,1.4069807529449463
22500,,0.05,,,,,35.0,88.6,5499,0.0001,2.4151415824890137
22759,86.25,0.05,228,85,267,3.6,,,5564,0.0001,0.0011087253224104643
23000,,0.05,,,,,115.0,88.2,5624,0.0001,2.5972023010253906
23170,86.24,0.05,232,86,267,5.4,,,5667,0.0001,1.9117982387542725
23500,,0.05,,,,,35.0,86.2,5749,0.0001,0.6074868440628052
23589,86.35,0.05,236,88,267,1.75,,,5772,0.0001,2.1921868324279785
23940,86.36,0.05,240,89,267,0.2,,,5859,0.0001,0.18327683210372925
24000,,0.05,,,,,105.0,85.8,5874,0.0001,0.11386661231517792
24349,86.33,0.05,244,91,267,4.0,,,5962,0.0001,0.03807457536458969
24500,,0.05,,,,,140.0,87.6,5999,0.0001,4.457911968231201
24766,86.32,0.05,248,92,267,6.65,,,6066,0.0001,3.5684361457824707
25000,,0.05,,,,,70.0,86.8,6124,0.0001,2.385608434677124
25175,86.26,0.05,252,94,267,5.85,,,6168,0.0001,0.05212342366576195
25500,,0.05,,,,,105.0,86.6,6249,0.0001,2.327991008758545
25584,86.23,0.05,256,95,267,7.95,,,6270,0.0001,0.16291306912899017
25925,86.13,0.05,260,97,267,12.2,,,6356,0.0001,0.19805516302585602
26000,,0.05,,,,,140.0,84.0,6374,0.0001,3.3276522159576416
26350,86.18,0.05,264,98,267,16.8,,,6462,0.0001,0.03963393345475197
26500,,0.05,,,,,140.0,87.2,6499,0.0001,1.2746057510375977
26765,86.27,0.05,268,100,266,16.35,,,6566,0.0001,0.027445975691080093
27000,,0.05,,,,,70.0,87.6,6624,0.0001,2.6255154609680176
27165,86.22,0.05,272,101,266,18.55,,,6666,0.0001,0.09852325916290283
27500,,0.05,,,,,105.0,85.6,6749,0.0001,0.34876900911331177
27583,86.17,0.05,276,103,266,24.85,,,6770,0.0001,0.055398259311914444
27933,86.26,0.05,280,104,266,27.1,,,6858,0.0001,0.0765061005949974
28000,,0.05,,,,,105.0,85.2,6874,0.0001,0.02111728861927986
28347,86.36,0.05,284,106,266,21.75,,,6961,0.0001,0.06225157529115677
28500,,0.05,,,,,35.0,86.4,6999,0.0001,1.330375075340271
28760,86.43,0.05,288,108,266,19.95,,,7064,0.0001,2.9066619873046875
29000,,0.05,,,,,35.0,86.2,7124,0.0001,1.7608414888381958
29171,86.5,0.05,292,109,266,17.8,,,7167,0.0001,2.8524181842803955
29500,,0.05,,,,,175.0,86.4,7249,0.0001,3.855792760848999
29588,86.39,0.05,296,111,264,13.6,,,7271,0.0001,0.0037482145708054304
29932,86.26,0.05,300,112,265,12.4,,,7357,0.0001,0.0001727159833535552
30000,,0.05,,,,,70.0,88.0,7374,0.0001,0.00013445355580188334
30336,86.17,0.05,304,114,264,9.05,,,7458,0.0001,0.07855455577373505
30500,,0.05,,,,,140.0,84.8,7499,0.0001,0.33054083585739136
30757,86.14,0.05,308,116,264,4.1,,,7564,0.0001,3.4293739795684814
31000,,0.05,,,,,140.0,87.0,7624,0.0001,1.2638537883758545
31176,86.19,0.05,312,118,263,1.95,,,7668,0.0001,2.3310420513153076
31500,,0.05,,,,,140.0,85.8,7749,0.0001,1.436606526374817
31581,86.36,0.05,316,119,263,5.35,,,7770,0.0001,0.13024812936782837
31933,86.3,0.05,320,120,263,5.0,,,7858,0.0001,0.19134119153022766
32000,,0.05,,,,,70.0,86.4,7874,0.0001,1.1583329439163208
32355,86.4,0.05,324,122,263,10.85,,,7963,0.0001,0.01931639574468136
32500,,0.05,,,,,175.0,85.6,7999,0.0001,0.05760049819946289
32760,86.38,0.05,328,124,263,8.8,,,8064,0.0001,0.06913509964942932
33000,,0.05,,,,,105.0,86.6,8124,0.0001,0.06786332279443741
33170,86.45,0.05,332,125,263,5.75,,,8167,0.0001,1.9046220779418945
33500,,0.05,,,,,140.0,85.0,8249,0.0001,0.03356854245066643
33584,86.4,0.05,336,127,263,6.9,,,8270,0.0001,0.05505986884236336
33938,86.43,0.05,340,128,263,12.95,,,8359,0.0001,0.015512552112340927
34000,,0.05,,,,,70.0,85.0,8374,0.0001,2.3261537551879883
34348,86.42,0.05,344,130,263,11.55,,,8461,0.0001,0.8164787292480469
34500,,0.05,,,,,70.0,86.8,8499,0.0001,0.15577691793441772
34755,86.35,0.05,348,131,263,12.55,,,8563,0.0001,0.5636643767356873
35000,,0.05,,,,,70.0,87.4,8624,0.0001,1.1745188236236572
35174,86.33,0.05,352,133,263,17.1,,,8668,0.0001,0.011332700029015541
35500,,0.05,,,,,105.0,85.2,8749,0.0001,0.006543231196701527
35583,86.3,0.05,356,134,263,16.85,,,8770,0.0001,0.05790199339389801
35934,86.4,0.05,360,136,263,12.5,,,8858,0.0001,0.11685283482074738
36000,,0.05,,,,,140.0,87.8,8874,0.0001,0.04432939738035202
36346,86.36,0.05,364,137,263,9.0,,,8961,0.0001,0.1508159637451172
36500,,0.05,,,,,35.0,88.8,8999,0.0001,1.3187886476516724
36757,86.32,0.05,368,139,263,12.25,,,9064,0.0001,0.10373273491859436
37000,,0.05,,,,,105.0,87.0,9124,0.0001,0.03515548259019852
37175,86.34,0.05,372,140,263,10.35,,,9168,0.0001,0.07446116954088211
37500,,0.05,,,,,105.0,87.2,9249,0.0001,1.2187837362289429
37586,86.41,0.05,376,142,263,7.65,,,9271,0.0001,1.3115698099136353
37926,86.31,0.05,380,143,263,7.85,,,9356,0.0001,0.43332916498184204
38000,,0.05,,,,,35.0,86.6,9374,0.0001,1.4455994367599487
38351,86.35,0.05,384,145,263,14.35,,,9462,0.0001,3.2750649452209473
38500,,0.05,,,,,105.0,87.0,9499,0.0001,0.06390824913978577
38756,86.3,0.05,388,146,263,17.7,,,9563,0.0001,0.029994595795869827
39000,,0.05,,,,,105.0,86.0,9624,0.0001,0.008775998838245869
39173,86.37,0.05,392,148,263,20.75,,,9668,0.0001,1.345434308052063
39500,,0.05,,,,,140.0,84.6,9749,0.0001,2.554342031478882
39582,86.39,0.05,396,150,263,25.1,,,9770,0.0001,0.11332416534423828
39931,86.44,0.05,400,151,263,30.6,,,9857,0.0001,0.050726551562547684
40000,,0.05,,,,,140.0,85.0,9874,0.0001,0.9607411623001099
40348,86.56,0.05,404,153,262,34.7,,,9961,0.0001,1.2753146886825562
40500,,0.05,,,,,140.0,86.8,9999,0.0001,0.9385300874710083
40766,86.65,0.05,408,155,262,38.15,,,10066,0.0001,0.2099476158618927
41000,,0.05,,,,,175.0,85.2,10124,0.0001,1.2968696355819702
41174,86.55,0.05,412,156,262,41.35,,,10168,0.0001,0.1272176206111908
41500,,0.05,,,,,105.0,87.2,10249,0.0001,2.023728609085083
41583,86.52,0.05,416,158,262,45.3,,,10270,0.0001,1.6843916177749634
41933,86.5,0.05,420,159,262,46.1,,,10358,0.0001,0.33631327748298645
42000,,0.05,,,,,175.0,84.2,10374,0.0001,0.8270272016525269
42339,86.34,0.05,424,161,262,39.65,,,10459,0.0001,0.2823403775691986
42500,,0.05,,,,,70.0,86.2,10499,0.0001,0.45383763313293457
42757,86.34,0.05,428,162,262,43.0,,,10564,0.0001,0.31019094586372375
43000,,0.05,,,,,105.0,85.6,10624,0.0001,1.8951116800308228
43173,86.33,0.05,432,164,262,49.55,,,10668,0.0001,0.3019687831401825
43500,,0.05,,,,,175.0,87.2,10749,0.0001,0.6241033673286438
43590,86.37,0.05,436,165,262,46.85,,,10772,0.0001,0.1376955807209015
43936,86.29,0.05,440,167,262,43.65,,,10858,0.0001,0.49257153272628784
44000,,0.05,,,,,105.0,86.6,10874,0.0001,0.017039895057678223
44350,86.31,0.05,444,168,262,44.05,,,10962,0.0001,0.013770785182714462
44500,,0.05,,,,,175.0,87.0,10999,0.0001,2.8613133430480957
44754,86.33,0.05,448,170,262,41.75,,,11063,0.0001,0.06794236600399017
45000,,0.05,,,,,140.0,84.8,11124,0.0001,0.606708824634552
45177,86.34,0.05,452,171,262,39.9,,,11169,0.0001,0.08552383631467819
45500,,0.05,,,,,140.0,85.0,11249,0.0001,0.011371102184057236
45582,86.35,0.05,456,173,262,43.4,,,11270,0.0001,0.09312237054109573
45921,86.23,0.05,460,174,262,45.1,,,11355,0.0001,0.25177276134490967
46000,,0.05,,,,,105.0,88.2,11374,0.0001,0.03567752242088318
46352,86.29,0.05,464,176,262,45.2,,,11462,0.0001,1.0439941883087158
46500,,0.05,,,,,70.0,89.2,11499,0.0001,0.09164313971996307
46767,86.41,0.05,468,177,262,43.9,,,11566,0.0001,2.309814929962158
47000,,0.05,,,,,140.0,84.8,11624,0.0001,0.03605309873819351
47166,86.37,0.05,472,179,262,44.75,,,11666,0.0001,0.31240710616111755
47500,,0.05,,,,,140.0,85.4,11749,0.0001,0.1356743574142456
47589,86.49,0.05,476,181,262,45.35,,,11772,0.0001,0.06832173466682434
47940,86.6,0.05,480,182,262,45.3,,,11859,0.0001,0.021438194438815117
48000,,0.05,,,,,70.0,87.8,11874,0.0001,0.20046453177928925
48340,86.49,0.05,484,183,262,43.9,,,11959,0.0001,0.07095393538475037
48500,,0.05,,,,,70.0,87.4,11999,0.0001,1.9841599464416504
48755,86.46,0.05,488,185,262,44.15,,,12063,0.0001,1.4868195056915283
49000,,0.05,,,,,140.0,85.6,12124,0.0001,0.3832038938999176
49176,86.45,0.05,492,187,262,47.6,,,12168,0.0001,0.015651486814022064
49500,,0.05,,,,,140.0,86.0,12249,0.0001,0.06175559014081955
49585,86.43,0.05,496,188,262,44.8,,,12271,0.0001,0.004069584421813488
49940,86.49,0.05,500,189,263,38.7,,,12359,0.0001,0.7830074429512024
50000,,0.05,,,,,105.0,83.4,12374,0.0001,0.04427844285964966
