#{"t_start": 1662000043.6645927, "env_id": null}
r,l,t
0.0,89,30.177104
0.0,83,30.386629
0.0,83,30.410494
0.0,83,30.434314
0.0,87,30.459435
0.0,90,30.48471
-25.0,82,30.783422
50.0,83,31.082189
20.0,91,31.396678
-25.0,86,31.704272
-100.0,89,32.011568
0.0,85,32.275341
0.0,85,32.299297
0.0,83,32.323126
0.0,86,32.348129
0.0,87,32.373209
-25.0,86,32.683395
-75.0,89,32.992844
-125.0,90,33.312435
100.0,85,33.608789
-50.0,87,33.920929
0.0,87,34.160485
0.0,87,34.185697
0.0,85,34.209532
0.0,85,34.233258
0.0,88,34.258391
0.0,83,34.888727
-50.0,85,35.18631
-25.0,86,35.497074
0.0,83,35.795942
25.0,88,36.109182
0.0,88,36.397542
0.0,90,36.423518
0.0,91,36.450686
0.0,81,36.47447
0.0,84,36.498695
-50.0,84,36.792738
25.0,86,37.104496
-25.0,88,37.416022
25.0,83,37.707526
0.0,85,38.000441
0.0,82,38.277385
0.0,89,38.303341
0.0,84,38.327332
0.0,83,38.351153
0.0,84,38.375195
75.0,84,38.670204
0.0,90,38.990212
25.0,81,39.27578
-145.0,88,39.583958
-605.0,83,39.874682
-170.0,84,40.158535
-220.0,86,40.185096
-155.0,89,40.211516
-165.0,89,40.237679
-140.0,88,40.26405
-100.0,91,40.591237
-25.0,81,40.874713
-25.0,91,41.198123
-25.0,85,41.507658
0.0,87,41.832699
0.0,87,42.095778
0.0,84,42.119805
0.0,86,42.145082
0.0,90,42.170526
0.0,86,42.195642
0.0,91,42.534783
-25.0,90,42.865536
0.0,91,43.19024
-25.0,85,43.505465
-75.0,88,43.82457
0.0,84,44.040468
0.0,88,44.065881
0.0,84,44.09013
0.0,86,44.115286
0.0,84,44.139295
-25.0,82,44.442114
-50.0,86,44.744829
-25.0,86,45.054761
0.0,84,45.350731
0.0,85,45.656333
0.0,85,45.954864
0.0,88,45.980299
0.0,88,46.005608
0.0,86,46.030658
0.0,88,46.055834
-50.0,90,46.380406
50.0,87,46.694566
-100.0,92,47.016234
0.0,82,47.300763
0.0,87,47.613302
0.0,86,47.852083
0.0,85,47.876148
0.0,86,47.901203
0.0,89,47.926457
0.0,90,47.95178
50.0,90,48.276403
-25.0,88,48.593197
-50.0,88,48.909571
-50.0,86,49.215777
50.0,85,49.522437
0.0,85,49.767655
0.0,82,49.791659
0.0,82,49.815491
0.0,83,49.839524
0.0,88,49.864845
-50.0,86,50.175487
150.0,85,50.472094
-25.0,83,50.778271
0.0,86,51.083712
50.0,85,51.403137
0.0,87,51.691249
0.0,85,51.715484
0.0,82,51.739378
0.0,84,51.763278
0.0,85,51.78717
-25.0,87,52.095029
-50.0,82,52.391347
30.0,84,52.684193
-100.0,90,52.997943
-125.0,84,53.292663
0.0,86,53.570571
0.0,81,53.594346
0.0,82,53.618026
0.0,90,53.643328
0.0,82,53.667025
25.0,91,53.992509
25.0,84,54.287716
0.0,82,54.582258
25.0,86,54.886286
25.0,89,55.206876
0.0,90,55.471532
0.0,83,55.495544
0.0,87,55.520829
0.0,84,55.544685
0.0,88,55.570092
-75.0,89,55.896697
-25.0,83,56.186629
0.0,83,56.48665
50.0,84,56.786038
-50.0,90,57.108871
0.0,91,57.383329
0.0,89,57.408695
175.0,89,57.433885
175.0,89,57.4592
175.0,84,57.483066
-375.0,91,58.282139
-150.0,90,58.606871
-25.0,83,58.897753
-75.0,82,59.193395
85.0,86,59.49128
0.0,88,59.7556
0.0,90,59.780867
0.0,89,59.805975
0.0,85,59.829766
0.0,84,59.853386
-25.0,90,60.179105
-25.0,85,60.471545
20.0,85,60.764304
-25.0,89,61.100492
50.0,90,61.406945
0.0,81,61.640716
0.0,85,61.664768
0.0,82,61.688446
0.0,87,61.713356
0.0,91,61.739802
75.0,86,62.044583
-75.0,81,62.31963
-50.0,87,62.625173
-50.0,84,62.916433
150.0,90,63.219482
0.0,87,63.495508
0.0,85,63.520036
0.0,82,63.544368
0.0,86,63.569972
0.0,91,63.597015
-50.0,88,63.910023
-25.0,89,64.231224
-50.0,90,64.542877
-75.0,86,64.851724
-125.0,90,65.165523
0.0,86,65.388356
0.0,91,65.414978
0.0,89,65.440192
0.0,89,65.465501
0.0,86,65.490473
-25.0,83,65.789014
-50.0,90,66.112072
-75.0,88,66.419233
0.0,86,66.717463
-50.0,91,67.043729
0.0,86,67.280516
0.0,83,67.305003
0.0,89,67.332536
0.0,84,67.356416
0.0,84,67.380192
-25.0,85,67.691537
-25.0,83,67.977381
-50.0,91,68.2968
-50.0,83,68.58928
-25.0,87,68.910164
0.0,89,69.1868
0.0,85,69.211462
0.0,90,69.237394
0.0,90,69.263275
0.0,86,69.288343
-80.0,89,69.609493
-25.0,86,69.908296
-25.0,85,70.205478
-125.0,85,70.509427
-75.0,90,70.819536
0.0,91,71.075141
0.0,88,71.100803
0.0,84,71.124859
0.0,84,71.148746
0.0,85,71.172563
25.0,82,71.467457
-100.0,85,71.761106
-25.0,85,72.056231
-25.0,82,72.348619
-40.0,90,72.661772
0.0,90,72.961686
0.0,83,72.985635
0.0,90,73.011467
0.0,88,73.036548
0.0,86,73.061385
0.0,84,73.692013
-25.0,85,74.003271
-25.0,83,74.295537
-175.0,91,74.622697
50.0,88,74.938874
175.0,89,75.202638
0.0,87,75.228382
175.0,84,75.252326
0.0,87,75.277411
0.0,82,75.30117
-25.0,82,75.597781
-75.0,89,75.909834
0.0,85,76.20733
-25.0,90,76.530362
0.0,83,76.823624
0.0,84,77.085824
0.0,89,77.110954
0.0,89,77.136127
0.0,87,77.161247
0.0,82,77.184734
-75.0,88,77.494526
50.0,83,77.789456
0.0,91,78.10754
50.0,85,78.401817
25.0,89,78.711962
0.0,91,78.961067
0.0,82,78.984883
0.0,88,79.010041
0.0,86,79.034923
0.0,82,79.058438
25.0,92,79.380844
-25.0,82,79.674071
50.0,86,79.971815
25.0,89,80.291918
-175.0,86,80.59018
-75.0,86,80.840591
-200.0,91,80.867294
-185.0,90,80.89264
-75.0,82,80.916246
-75.0,82,80.939849
125.0,90,81.266846
75.0,91,81.593857
-75.0,83,81.878921
-75.0,85,82.187841
-50.0,86,82.484046
0.0,86,82.734067
0.0,90,82.759804
0.0,85,82.784137
0.0,89,82.809639
0.0,83,82.833664
25.0,84,83.132602
-75.0,82,83.424397
50.0,84,83.718729
0.0,91,84.038599
25.0,82,84.325566
0.0,86,84.619397
0.0,82,84.643115
175.0,86,84.668223
0.0,87,84.693345
0.0,82,84.717032
75.0,90,85.043821
-100.0,86,85.338324
-175.0,91,85.659478
100.0,90,85.978919
75.0,90,86.288265
0.0,84,86.496365
0.0,89,86.52168
0.0,87,86.546625
0.0,88,86.571671
0.0,88,86.596769
-85.0,88,86.9035
-25.0,90,87.223543
75.0,86,87.521857
-75.0,82,87.812639
0.0,82,88.094811
175.0,90,88.373644
0.0,88,88.398742
0.0,84,88.422436
0.0,87,88.447302
175.0,84,88.470923
25.0,86,88.778088
-25.0,91,89.106895
0.0,85,89.410085
50.0,88,89.717668
50.0,81,90.005062
175.0,89,90.271042
0.0,87,90.296292
175.0,88,90.321378
175.0,85,90.345283
175.0,83,90.368939
100.0,82,91.115979
75.0,85,91.428332
-325.0,89,91.753628
-150.0,86,92.071433
125.0,84,92.36964
175.0,85,92.652115
0.0,86,92.677188
175.0,88,92.702328
0.0,83,92.726078
0.0,87,92.751095
50.0,84,93.056344
50.0,91,93.383047
-55.0,88,93.691946
0.0,85,93.994567
-75.0,92,94.319484
0.0,91,94.553779
0.0,81,94.577634
0.0,86,94.602604
0.0,83,94.626252
0.0,84,94.649784
0.0,88,94.957888
0.0,84,95.250266
-75.0,85,95.558684
0.0,87,95.858753
0.0,85,96.164665
175.0,90,96.428279
175.0,90,96.453631
175.0,84,96.477301
175.0,82,96.500834
175.0,86,96.525727
200.0,84,97.264621
-245.0,85,97.564138
150.0,90,97.890806
75.0,91,98.220354
175.0,87,98.53622
175.0,83,98.774662
175.0,86,98.799994
175.0,91,98.827179
175.0,82,98.851532
175.0,82,98.87583
50.0,88,99.185188
-25.0,82,99.47797
50.0,84,99.772901
-175.0,90,100.08031
150.0,82,100.377725
175.0,91,100.662483
175.0,84,100.686762
175.0,82,100.710706
175.0,83,100.734706
175.0,90,100.760088
-140.0,82,101.050168
-150.0,83,101.340988
175.0,91,101.651545
0.0,90,101.972631
50.0,86,102.270435
0.0,85,102.532544
0.0,91,102.559228
175.0,84,102.583107
0.0,81,102.606883
175.0,88,102.632074
95.0,89,102.953345
-50.0,86,103.249474
-15.0,91,103.573011
15.0,86,103.873463
-250.0,90,104.193882
0.0,85,104.417941
175.0,84,104.441945
0.0,91,104.46845
0.0,84,104.492296
175.0,81,104.515974
85.0,90,104.838013
45.0,88,105.154882
95.0,84,105.457518
-160.0,86,105.762732
-90.0,84,106.062054
175.0,84,106.333166
0.0,87,106.358601
175.0,83,106.382521
175.0,88,106.407629
175.0,83,106.431591
75.0,89,106.763433
-20.0,88,107.079319
110.0,90,107.391604
115.0,82,107.688194
-200.0,91,108.007452
0.0,89,108.247448
175.0,87,108.272693
175.0,83,108.296673
175.0,83,108.320672
175.0,84,108.344658
-200.0,91,108.678612
-160.0,88,108.991242
75.0,91,109.317369
-65.0,87,109.627806
150.0,83,109.917106
175.0,87,110.151996
175.0,89,110.177988
175.0,88,110.203244
175.0,82,110.227145
0.0,91,110.253686
125.0,81,110.54871
-105.0,84,110.843081
-5.0,87,111.145457
-125.0,86,111.448862
75.0,87,111.761126
175.0,88,112.044804
0.0,86,112.070794
0.0,86,112.096564
0.0,81,112.120798
0.0,90,112.146496
75.0,85,112.785556
140.0,84,113.087528
100.0,81,113.392521
60.0,81,113.69084
185.0,91,114.02583
175.0,85,114.3291
175.0,86,114.353859
175.0,83,114.377778
175.0,85,114.401884
175.0,86,114.427161
100.0,89,114.76824
185.0,82,115.064641
200.0,88,115.405477
-85.0,83,115.700265
-95.0,90,116.012048
175.0,87,116.273818
175.0,82,116.29764
175.0,83,116.321274
0.0,90,116.346504
175.0,88,116.371585
-225.0,89,116.688752
10.0,88,116.999351
-150.0,83,117.282392
120.0,86,117.592226
-30.0,91,117.912079
0.0,90,118.150206
175.0,82,118.174479
175.0,83,118.198384
0.0,85,118.222767
0.0,91,118.24958
-170.0,89,118.566213
100.0,84,118.86171
120.0,81,119.143264
-200.0,87,119.443872
35.0,86,119.740148
0.0,85,120.01471
175.0,83,120.038571
175.0,83,120.062311
0.0,91,120.088734
0.0,91,120.115125
-105.0,88,120.42546
60.0,87,120.734374
70.0,90,121.054748
55.0,89,121.366469
85.0,83,121.658082
175.0,81,121.895977
175.0,90,121.921508
175.0,88,121.946614
175.0,88,121.97177
0.0,90,121.997032
25.0,87,122.315619
-120.0,84,122.606409
125.0,87,122.90759
70.0,82,123.18382
-55.0,87,123.483461
0.0,87,123.758932
175.0,87,123.78393
0.0,84,123.807399
0.0,82,123.830778
175.0,82,123.854267
-165.0,86,124.149419
110.0,89,124.455814
50.0,82,124.7426
125.0,83,125.021648
150.0,89,125.335174
175.0,84,125.597644
0.0,90,125.623398
175.0,88,125.648718
175.0,83,125.672868
0.0,91,125.699634
135.0,87,126.009437
150.0,88,126.319143
125.0,88,126.626252
-30.0,84,126.915861
-45.0,86,127.219325
0.0,86,127.471395
175.0,84,127.495258
175.0,82,127.518855
0.0,91,127.545091
0.0,90,127.570161
-55.0,88,127.880797
-225.0,82,128.165926
55.0,86,128.469298
10.0,88,128.774151
-105.0,81,129.064694
175.0,89,129.345562
0.0,85,129.369491
0.0,90,129.394641
0.0,90,129.419797
0.0,90,129.445
-20.0,89,129.763163
155.0,88,130.070562
-175.0,88,130.374629
25.0,88,130.679182
105.0,83,130.963001
0.0,85,131.209504
175.0,83,131.233464
175.0,87,131.258827
0.0,87,131.284846
0.0,85,131.308998
70.0,87,131.611206
75.0,88,131.912776
20.0,90,132.224805
110.0,90,132.529713
150.0,86,132.831555
0.0,91,133.054788
0.0,91,133.081224
175.0,82,133.104783
175.0,85,133.128572
175.0,82,133.15219
50.0,89,133.465326
-30.0,84,133.754595
-30.0,84,134.047162
185.0,90,134.353943
-130.0,87,134.657833
175.0,86,134.907752
0.0,85,134.931923
175.0,92,134.958584
0.0,89,134.98381
175.0,91,135.010321
0.0,86,135.317069
-170.0,89,135.6227
155.0,84,135.919586
100.0,89,136.230386
-20.0,91,136.564832
175.0,86,136.803118
175.0,82,136.827295
175.0,82,136.851148
175.0,83,136.875016
175.0,82,136.898837
80.0,90,137.216471
120.0,83,137.512516
10.0,89,137.821033
50.0,86,138.118099
60.0,90,138.438682
0.0,84,138.673949
175.0,89,138.699505
175.0,87,138.724764
0.0,92,138.751338
0.0,90,138.776636
-20.0,87,139.083706
100.0,87,139.389182
-195.0,82,139.6681
-200.0,89,139.984169
55.0,86,140.281729
175.0,89,140.547655
175.0,89,140.573635
175.0,89,140.599179
175.0,83,140.623251
0.0,91,140.64977
-90.0,84,140.941119
80.0,82,141.233919
-105.0,82,141.516134
95.0,86,141.822212
80.0,81,142.104742
175.0,82,142.42493
175.0,83,142.448888
175.0,83,142.472826
0.0,86,142.497895
0.0,91,142.524366
170.0,87,142.835648
10.0,89,143.142686
110.0,85,143.448283
100.0,85,143.747653
10.0,86,144.044525
175.0,86,144.307076
0.0,84,144.331096
0.0,86,144.356228
0.0,91,144.382811
175.0,88,144.408061
-200.0,87,144.711142
-250.0,83,144.999854
135.0,83,145.30051
-130.0,86,145.596877
125.0,88,145.907289
175.0,84,146.184308
175.0,82,146.208202
175.0,84,146.232186
175.0,82,146.256048
0.0,86,146.281275
25.0,89,146.598962
-250.0,87,146.887439
95.0,84,147.1854
50.0,85,147.487459
25.0,85,147.785676
175.0,82,148.051142
175.0,82,148.074966
175.0,83,148.099041
175.0,83,148.123057
0.0,85,148.14701
-25.0,82,148.441555
-75.0,86,148.743181
-45.0,89,149.063873
75.0,84,149.358868
85.0,89,149.668164
175.0,84,149.933352
0.0,89,149.959233
0.0,90,149.984882
0.0,90,150.010365
175.0,87,150.035662
10.0,90,150.697396
45.0,85,151.003164
85.0,89,151.325527
-55.0,85,151.634574
-55.0,85,151.925532
0.0,86,152.175288
175.0,86,152.200374
175.0,89,152.225452
0.0,85,152.249156
175.0,89,152.274412
-20.0,83,152.565844
75.0,90,152.885882
-100.0,82,153.165922
-200.0,84,153.458835
-120.0,91,153.776579
0.0,84,154.039495
0.0,86,154.064663
0.0,81,154.088397
175.0,84,154.112417
175.0,83,154.136392
80.0,83,154.434291
80.0,85,154.734635
95.0,91,155.057644
125.0,90,155.380313
35.0,91,155.69066
175.0,88,155.931526
175.0,89,155.957478
0.0,85,155.982048
0.0,86,156.007365
175.0,87,156.032653
-75.0,87,156.339676
100.0,84,156.631514
-20.0,86,156.939787
-105.0,84,157.233153
-65.0,84,157.529785
0.0,86,157.808074
0.0,92,157.834779
175.0,83,157.858557
0.0,81,157.882278
0.0,86,157.907328
-105.0,87,158.213308
-225.0,87,158.51467
155.0,91,158.83841
25.0,83,159.11948
-5.0,83,159.410994
175.0,82,159.678993
175.0,87,159.70411
175.0,83,159.727854
175.0,87,159.752945
0.0,87,159.777956
-20.0,90,160.09699
-150.0,85,160.391427
75.0,83,160.710019
70.0,86,161.01105
85.0,81,161.308381
175.0,89,161.589997
0.0,85,161.614464
175.0,87,161.639492
175.0,82,161.663402
175.0,83,161.687567
70.0,84,161.98629
100.0,82,162.280322
-75.0,90,162.583577
45.0,88,162.892707
-40.0,91,163.214057
0.0,82,163.462001
0.0,91,163.489279
0.0,85,163.513858
175.0,87,163.539268
175.0,87,163.564495
120.0,86,163.877728
-100.0,84,164.173121
55.0,88,164.487693
-175.0,87,164.794828
100.0,85,165.091289
0.0,91,165.360712
175.0,88,165.386096
175.0,89,165.411464
175.0,82,165.435223
0.0,85,165.459143
75.0,86,165.767836
95.0,91,166.089208
125.0,90,166.403011
75.0,84,166.698143
125.0,87,167.004786
175.0,88,167.240213
0.0,85,167.264432
0.0,90,167.289931
175.0,84,167.313865
0.0,86,167.338879
35.0,89,167.659436
35.0,88,167.968174
50.0,89,168.274848
-90.0,84,168.563825
-15.0,84,168.857215
0.0,90,169.109702
0.0,90,169.135664
175.0,88,169.161023
175.0,89,169.186348
0.0,82,169.210082
75.0,85,169.514696
55.0,88,169.821155
25.0,89,170.13333
10.0,87,170.438876
70.0,86,170.736118
175.0,88,170.987033
175.0,82,171.010933
175.0,89,171.036295
0.0,86,171.061383
175.0,83,171.085192
-175.0,83,171.376698
80.0,87,171.685283
50.0,88,171.995648
85.0,82,172.288635
170.0,88,172.596534
0.0,86,172.876081
0.0,87,172.901339
175.0,81,172.924971
0.0,90,172.950058
175.0,82,172.97346
-105.0,87,173.281338
25.0,83,173.57624
75.0,82,173.860667
70.0,83,174.159986
-40.0,86,174.471203
175.0,87,174.769992
175.0,87,174.795978
0.0,90,174.82206
175.0,87,174.847862
175.0,82,174.872113
-115.0,83,175.170543
-45.0,91,175.497239
85.0,90,175.807133
50.0,87,176.10982
25.0,81,176.391643
0.0,91,176.660222
175.0,84,176.68513
0.0,90,176.711107
175.0,82,176.734786
175.0,84,176.758608
95.0,84,177.057486
25.0,88,177.366548
95.0,85,177.670149
75.0,85,177.968261
95.0,86,178.262529
175.0,82,178.537762
175.0,83,178.561657
175.0,89,178.587102
0.0,85,178.611068
175.0,82,178.634668
100.0,81,178.924506
-20.0,88,179.233438
170.0,83,179.521385
95.0,83,179.818356
-175.0,86,180.125232
0.0,84,180.424331
0.0,90,180.45109
0.0,86,180.477326
0.0,85,180.501906
175.0,82,180.526228
150.0,90,180.84951
60.0,91,181.165385
125.0,92,181.483068
-150.0,91,181.787223
-90.0,87,182.083609
0.0,91,182.277577
175.0,89,182.304019
175.0,88,182.330241
175.0,84,182.355057
175.0,83,182.379954
150.0,82,182.670635
55.0,86,182.958128
-175.0,88,183.258453
25.0,92,183.575174
125.0,85,183.875786
175.0,88,184.123423
0.0,91,184.1498
175.0,89,184.175137
175.0,83,184.198951
0.0,86,184.223929
110.0,85,184.527533
-125.0,88,184.828082
-45.0,82,185.105016
0.0,89,185.407443
135.0,85,185.710602
175.0,90,185.971478
175.0,87,185.996653
175.0,87,186.0219
175.0,88,186.047055
175.0,81,186.070586
-155.0,90,186.387213
105.0,91,186.718382
150.0,88,187.02217
130.0,85,187.314443
-115.0,85,187.604539
0.0,82,187.841577
0.0,86,187.867831
175.0,83,187.892785
0.0,86,187.920093
175.0,83,187.943882
