time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/time_elapsed,time/fps,rollout/ep_rew_mean,eval/mean_reward,eval/mean_ep_length,train/n_updates,train/learning_rate,train/loss
14668,86.05,0.05,148,52,278,-19.05,,,3541,0.0001,0.0025420188903808594
15000,,0.05,,,,,0.0,84.6,3624,0.0001,0.00042268389370292425
15086,85.98,0.05,152,54,278,-19.3,,,3646,0.0001,0.003980125300586224
15435,85.86,0.05,156,55,278,-19.3,,,3733,0.0001,0.00032968036248348653
15500,,0.05,,,,,0.0,87.4,3749,0.0001,0.0004107260028831661
15843,85.93,0.05,160,57,277,-20.3,,,3835,0.0001,3.777705669403076
16000,,0.05,,,,,0.0,86.4,3874,0.0001,1.6031029224395752
16255,85.84,0.05,164,58,277,-17.3,,,3938,0.0001,0.01682785153388977
16500,,0.05,,,,,0.0,87.4,3999,0.0001,0.6522036790847778
16673,85.79,0.05,168,60,276,-17.45,,,4043,0.0001,0.026485079899430275
17000,,0.05,,,,,0.0,85.8,4124,0.0001,0.11820140480995178
17083,85.82,0.05,172,61,276,-13.15,,,4145,0.0001,0.06090950965881348
17416,85.65,0.05,176,63,276,-11.4,,,4228,0.0001,0.001987532479688525
17500,,0.05,,,,,0.0,85.2,4249,0.0001,0.0020657870918512344
17757,85.53,0.05,180,64,275,-13.9,,,4314,0.0001,0.00037253665504977107
18000,,0.05,,,,,0.0,86.0,4374,0.0001,0.7436503767967224
18166,85.44,0.05,184,66,275,-13.4,,,4416,0.0001,0.001960198860615492
18500,,0.05,,,,,0.0,85.2,4499,0.0001,0.6603853702545166
18585,85.31,0.05,188,67,274,-14.65,,,4521,0.0001,0.026327356696128845
18930,85.41,0.05,192,68,274,-15.4,,,4607,0.0001,0.0010085436515510082
19000,,0.05,,,,,0.0,84.2,4624,0.0001,0.0007821542676538229
19349,85.45,0.05,196,70,274,-12.9,,,4712,0.0001,0.08221632987260818
19500,,0.05,,,,,0.0,86.0,4749,0.0001,0.0004906695103272796
19758,85.41,0.05,200,72,274,-14.8,,,4814,0.0001,0.05926990136504173
20000,,0.05,,,,,0.0,88.8,4874,0.0001,0.001680262153968215
20174,85.42,0.05,204,74,272,-9.3,,,4918,0.0001,0.0019202014664188027
20500,,0.05,,,,,70.0,85.4,4999,0.0001,0.002558389212936163
20582,85.31,0.05,208,76,270,-8.15,,,5020,0.0001,1.5591133832931519
20931,85.3,0.05,212,77,270,-10.4,,,5107,0.0001,3.864283323287964
21000,,0.05,,,,,0.0,86.8,5124,0.0001,1.419912338256836
21347,85.29,0.05,216,79,270,-12.65,,,5211,0.0001,0.3552911877632141
21500,,0.05,,,,,0.0,87.6,5249,0.0001,0.30350103974342346
21754,85.31,0.05,220,80,269,-11.65,,,5313,0.0001,0.003794832155108452
22000,,0.05,,,,,0.0,86.6,5374,0.0001,2.174147844314575
22167,85.31,0.05,224,82,269,-12.15,,,5416,0.0001,0.07349241524934769
22500,,0.05,,,,,0.0,85.8,5499,0.0001,0.0008426880231127143
22589,85.29,0.05,228,83,269,-13.65,,,5522,0.0001,1.7339733839035034
22932,85.39,0.05,232,84,269,-13.9,,,5607,0.0001,0.0056587825529277325
23000,,0.05,,,,,0.0,86.0,5624,0.0001,0.001573533401824534
23341,85.37,0.05,236,86,269,-14.9,,,5710,0.0001,0.0022868411615490913
23500,,0.05,,,,,105.0,85.6,5749,0.0001,0.001487432629801333
23760,85.47,0.05,240,88,268,-13.05,,,5814,0.0001,0.0026534839998930693
24000,,0.05,,,,,-173.0,84.6,5874,0.0001,0.001449789386242628
24174,85.59,0.05,244,90,268,-16.8,,,5918,0.0001,2.2061309814453125
24500,,0.05,,,,,105.0,87.0,5999,0.0001,0.9204550981521606
24584,85.59,0.05,248,91,268,-19.95,,,6020,0.0001,0.030280163511633873
24927,85.66,0.05,252,92,268,-20.35,,,6106,0.0001,1.9443968534469604
25000,,0.05,,,,,70.0,85.2,6124,0.0001,0.2536420226097107
25346,85.63,0.05,256,94,268,-19.7,,,6211,0.0001,0.0012489364016801119
25500,,0.05,,,,,35.0,86.4,6249,0.0001,0.014969887211918831
25753,85.62,0.05,260,96,268,-14.35,,,6313,0.0001,0.0018000558484345675
26000,,0.05,,,,,111.0,85.8,6374,0.0001,1.983565330505371
26168,85.54,0.05,264,98,266,-16.15,,,6416,0.0001,4.3995795249938965
26500,,0.05,,,,,105.0,87.6,6499,0.0001,0.37589120864868164
26584,85.61,0.05,268,99,266,-15.25,,,6520,0.0001,1.2472234964370728
26925,85.62,0.05,272,100,266,-12.3,,,6606,0.0001,0.34000134468078613
27000,,0.05,,,,,105.0,85.2,6624,0.0001,0.903378963470459
27338,85.67,0.05,276,102,266,-13.1,,,6709,0.0001,1.2868655920028687
27500,,0.05,,,,,175.0,86.0,6749,0.0001,1.2049176692962646
27756,85.71,0.05,280,104,265,-9.75,,,6813,0.0001,0.09347101300954819
28000,,0.05,,,,,140.0,85.8,6874,0.0001,0.263482928276062
28172,85.73,0.05,284,105,265,-6.35,,,6917,0.0001,2.3190510272979736
28500,,0.05,,,,,70.0,86.0,6999,0.0001,0.004043518099933863
28591,85.94,0.05,288,107,265,-7.35,,,7022,0.0001,1.7186217308044434
28929,85.87,0.05,292,108,265,-5.15,,,7107,0.0001,0.003070155391469598
29000,,0.05,,,,,175.0,83.8,7124,0.0001,0.7388379573822021
29346,85.84,0.05,296,110,265,-0.15,,,7211,0.0001,0.22711968421936035
29500,,0.05,,,,,140.0,86.8,7249,0.0001,0.038414567708969116
29766,85.89,0.05,300,111,265,4.35,,,7316,0.0001,1.4884384870529175
30000,,0.05,,,,,140.0,86.2,7374,0.0001,0.0013383157784119248
30173,85.85,0.05,304,113,265,0.9,,,7418,0.0001,3.091186046600342
30500,,0.05,,,,,157.0,88.4,7499,0.0001,1.2611185312271118
30584,85.89,0.05,308,115,264,0.9,,,7520,0.0001,2.142899990081787
30933,85.89,0.05,312,116,265,4.25,,,7608,0.0001,2.483678102493286
31000,,0.05,,,,,163.0,89.2,7624,0.0001,2.120070457458496
31351,85.93,0.05,316,118,265,3.75,,,7712,0.0001,1.0890042781829834
31500,,0.05,,,,,64.0,83.6,7749,0.0001,2.7621703147888184
31757,86.0,0.05,320,119,265,8.65,,,7814,0.0001,0.42838671803474426
32000,,0.05,,,,,96.0,87.4,7874,0.0001,0.3282761573791504
32169,86.06,0.05,324,121,265,7.85,,,7917,0.0001,0.10448682308197021
32500,,0.05,,,,,140.0,84.6,7999,0.0001,0.03710305690765381
32586,86.06,0.05,328,122,265,9.55,,,8021,0.0001,0.1963006556034088
32930,86.07,0.05,332,124,265,7.4,,,8107,0.0001,2.5143017768859863
33000,,0.05,,,,,90.0,87.8,8124,0.0001,0.4835779368877411
33343,86.09,0.05,336,125,265,4.1,,,8210,0.0001,3.955657958984375
33500,,0.05,,,,,140.0,85.8,8249,0.0001,2.3900249004364014
33762,86.11,0.05,340,127,265,0.35,,,8315,0.0001,0.24051374197006226
34000,,0.05,,,,,70.0,87.6,8374,0.0001,1.3678878545761108
34181,86.08,0.05,344,129,264,4.15,,,8420,0.0001,0.3313916027545929
34500,,0.05,,,,,70.0,84.6,8499,0.0001,0.05510465428233147
34591,86.18,0.05,348,130,264,7.3,,,8522,0.0001,0.261274516582489
34933,86.17,0.05,352,131,264,7.15,,,8608,0.0001,0.030200697481632233
35000,,0.05,,,,,105.0,87.4,8624,0.0001,0.05924075469374657
35354,86.25,0.05,356,133,264,4.6,,,8713,0.0001,0.24203093349933624
35500,,0.05,,,,,134.0,86.8,8749,0.0001,2.2591726779937744
35752,86.23,0.05,360,135,264,-0.9,,,8812,0.0001,2.493739604949951
36000,,0.05,,,,,105.0,85.2,8874,0.0001,0.43556931614875793
36175,86.34,0.05,364,136,264,0.85,,,8918,0.0001,2.162935495376587
36500,,0.05,,,,,67.0,85.6,8999,0.0001,2.9380075931549072
36588,86.24,0.05,368,138,264,0.7,,,9021,0.0001,0.9452813267707825
36928,86.23,0.05,372,139,264,0.5,,,9106,0.0001,0.7331374883651733
37000,,0.05,,,,,175.0,87.6,9124,0.0001,0.4068867564201355
37337,86.22,0.05,376,141,264,-1.3,,,9209,0.0001,0.23113539814949036
37500,,0.05,,,,,70.0,88.2,9249,0.0001,0.019353266805410385
37764,86.27,0.05,380,142,264,0.4,,,9315,0.0001,0.19727209210395813
38000,,0.05,,,,,105.0,84.8,9374,0.0001,0.24160689115524292
38180,86.37,0.05,384,144,264,-2.6,,,9419,0.0001,0.007996175438165665
38500,,0.05,,,,,35.0,85.8,9499,0.0001,0.46198874711990356
38583,86.23,0.05,388,145,264,-0.45,,,9520,0.0001,0.38704758882522583
38927,86.29,0.05,392,147,264,0.0,,,9606,0.0001,0.20678192377090454
39000,,0.05,,,,,175.0,84.8,9624,0.0001,0.8880625367164612
39352,86.35,0.05,396,148,264,-7.8,,,9712,0.0001,0.25688865780830383
39500,,0.05,,,,,105.0,87.4,9749,0.0001,0.6096764206886292
39769,86.44,0.05,400,150,264,-10.1,,,9817,0.0001,0.04819352924823761
40000,,0.05,,,,,140.0,85.0,9874,0.0001,1.1440060138702393
40177,86.43,0.05,404,152,263,-4.4,,,9919,0.0001,2.4946696758270264
40500,,0.05,,,,,70.0,84.2,9999,0.0001,0.39366331696510315
40586,86.44,0.05,408,153,263,-5.9,,,10021,0.0001,1.1498351097106934
40932,86.41,0.05,412,155,263,-4.1,,,10107,0.0001,1.763479471206665
41000,,0.05,,,,,35.0,87.8,10124,0.0001,3.2598228454589844
41348,86.38,0.05,416,156,263,-7.1,,,10211,0.0001,2.4476656913757324
41500,,0.05,,,,,70.0,89.8,10249,0.0001,2.7606096267700195
41753,86.32,0.05,420,158,263,-4.95,,,10313,0.0001,2.627012014389038
42000,,0.05,,,,,70.0,85.4,10374,0.0001,0.07909232378005981
42171,86.39,0.05,424,160,263,-4.85,,,10417,0.0001,0.08656872063875198
42500,,0.05,,,,,140.0,87.8,10499,0.0001,0.35309669375419617
42584,86.45,0.05,428,161,263,-2.1,,,10520,0.0001,0.543475866317749
42933,86.5,0.05,432,162,263,4.05,,,10608,0.0001,0.013410059735178947
43000,,0.05,,,,,140.0,85.4,10624,0.0001,0.13943080604076385
43340,86.47,0.05,436,164,263,11.2,,,10709,0.0001,0.4849000871181488
43500,,0.05,,,,,105.0,85.8,10749,0.0001,1.8185473680496216
43767,86.57,0.05,440,166,263,14.6,,,10816,0.0001,0.00739141833037138
44000,,0.05,,,,,175.0,84.4,10874,0.0001,0.11491966247558594
44172,86.5,0.05,444,167,263,16.6,,,10917,0.0001,5.146617889404297
44500,,0.05,,,,,105.0,85.6,10999,0.0001,0.31582963466644287
44588,86.4,0.05,448,169,263,16.6,,,11021,0.0001,0.27645888924598694
44931,86.41,0.05,452,170,263,19.95,,,11107,0.0001,2.014592170715332
45000,,0.05,,,,,105.0,87.8,11124,0.0001,0.894821286201477
45342,86.29,0.05,456,172,263,22.05,,,11210,0.0001,0.4179595112800598
45500,,0.05,,,,,105.0,83.6,11249,0.0001,0.022062642499804497
45756,86.36,0.05,460,173,263,23.7,,,11313,0.0001,0.421879380941391
46000,,0.05,,,,,35.0,88.0,11374,0.0001,0.0811086893081665
46163,86.21,0.05,464,175,263,28.6,,,11415,0.0001,2.4120593070983887
46500,,0.05,,,,,105.0,84.8,11499,0.0001,0.483146071434021
46583,86.23,0.05,468,176,263,29.4,,,11520,0.0001,1.2335352897644043
46936,86.36,0.05,472,178,263,25.85,,,11608,0.0001,0.7484106421470642
47000,,0.05,,,,,35.0,87.6,11624,0.0001,0.3363935947418213
47341,86.4,0.05,476,179,263,25.75,,,11710,0.0001,0.22143997251987457
47500,,0.05,,,,,140.0,83.8,11749,0.0001,1.0780586004257202
47751,86.29,0.05,480,181,263,23.65,,,11812,0.0001,4.442055702209473
48000,,0.05,,,,,140.0,86.6,11874,0.0001,2.7924091815948486
48170,86.21,0.05,484,182,263,26.4,,,11917,0.0001,1.0614471435546875
48500,,0.05,,,,,125.0,88.2,11999,0.0001,0.7875908613204956
48583,86.17,0.05,488,184,263,30.05,,,12020,0.0001,1.8313779830932617
48920,86.1,0.05,492,185,263,31.75,,,12104,0.0001,0.021903924643993378
49000,,0.05,,,,,105.0,86.8,12124,0.0001,2.4697155952453613
49342,86.0,0.05,496,187,263,33.65,,,12210,0.0001,0.36076879501342773
49500,,0.05,,,,,35.0,87.6,12249,0.0001,1.1018611192703247
49767,85.95,0.05,500,188,263,33.2,,,12316,0.0001,4.1621317863464355
50000,,0.05,,,,,70.0,86.6,12374,0.0001,0.1603812575340271
